@id,rdf:type,skos:topConceptOf,skos:hasTopConcept[0],skos:hasTopConcept[1],skos:hasTopConcept[2],skos:hasTopConcept[3],skos:hasTopConcept[4],skos:inScheme,skos:broader,skos:related,rdfs:label,rdfs:comment,rdfs:definedBy,skos:prefLabel,skos:definition,skos:note,dcterms:source,pav:version
togafvoc:goal,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Goal,Goal,A high-level statement of intent or direction for an organization. Typically used to measure success of an organization.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:information_system_service,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:application_architecture_component,,,,togaf:InformationSystemService,Information System Service,The automated elements of a business service. An information system service may deliver or support part or all of one or more business services.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:location,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Location,Location,A place where business activity takes place and can be hierarchically decomposed.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:logical_application_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:application_component,,,,togaf:LogicalApplicationComponent,Logical Application Component,"An encapsulation of application functionality that is independent of a particular implementation. For example, the classification of all purchase request processing applications implemented in an enterprise.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:logical_data_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:data_architecture_component,,,,togaf:LogicalDataComponent,Logical Data Component,"A boundary zone that encapsulates related data entities to form a logical location to be held; for example, external procurement information.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:logical_technology_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:technology_component,,,,togaf:LogicalTechnologyComponent,Logical Technology Component,"An encapsulation of technology infrastructure that is independent of a particular product. A class of technology product; for example, supply chain management software as part of an Enterprise Resource Planning (ERP) suite, or a Commercial Off-The-Shelf (COTS) purchase request processing enterprise service.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:measure,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Measure,Measure,"An indicator or factor that can be tracked, usually on an ongoing basis, to determine success or alignment with objectives and goals.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:objective,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Objective,Objective,"A time-bounded milestone for an organization used to demonstrate progress towards a goal; for example, ""Increase capacity utilization by 30% by the end of 2019 to support the planned increase in market share"".",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:organization_unit,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:OrganizationUnit,Organization Unit,"A self-contained unit of resources with goals, objectives, and measures. Organization units may include external parties and business partner organizations.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:physical_application_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:application_component,,,,togaf:PhysicalApplicationComponent,Physical Application Component,"An application, application module, application service, or other deployable component of functionality. For example, a configured and deployed instance of a Commercial Off-The-Shelf (COTS) Enterprise Resource Planning (ERP) supply chain management application.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:physical_data_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:data_architecture_component,,,,togaf:PhysicalDataComponent,Physical Data Component,"A boundary zone that encapsulates related data entities to form a physical location to be held. For example, a purchase order business object, comprising purchase order header and item business object nodes.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:physical_technology_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:technology_component,,,,togaf:PhysicalTechnologyComponent,Physical Technology Component,"A specific technology infrastructure product or technology infrastructure product instance. For example, a particular product version of a Commercial Off-The-Shelf (COTS) solution, or a specific brand and version of server.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:principle,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Principle,Principle,A qualitative statement of intent that should be met by the architecture. Has at least a supporting rationale and a measure of importance.,"A sample set of architecture principles is defined in Part III, 23. Architecture Principles.",https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:process,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Process,Process,"A process represents flow of control between or within functions and/or services (depends on the granularity of definition). Processes represent a sequence of activities that together achieve a specified outcome, can be decomposed into sub-processes, and can show operation of a function or service (at next level of detail). Processes may also be used to link or compose organizations, functions, services, and processes.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:product,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Product,Product,Output generated by the business. The business product of the execution of a process.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:requirement,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Requirement,Requirement,A quantitative statement of business need that must be met by a particular architecture or work package.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:role,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,togafvoc:actor,,,togaf:Role,Role,"The usual or expected function of an actor, or the part somebody or something plays in a particular action or event. An actor may have a number of roles.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:service,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,,Service,"An element of behavior that provides specific functionality in response to requests from actors or other services. A service delivers or supports business capabilities, has an explicitly defined interface, and is explicitly governed. Services are defined for business, information systems, and platforms.",Is not a part of TOGAF 9.2 Figure 30-7: Relationships between Entities in the Full Metamodel,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:service_quality,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:ServiceQuality,Service Quality,A preset configuration of non-functional attributes that may be assigned to a service or service contract.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:technology_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:technology_architecture_component,,,,,Technology Component,An encapsulation of technology infrastructure that represents a class of technology product or specific technology product.,Is not a part of TOGAF 9.2 Figure 30-7: Relationships between Entities in the Full Metamodel,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:technology_service,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:technology_architecture_component,,,,togaf:TechnologyService,Technology Service,A technical capability required to provide enabling infrastructure that supports the delivery of applications.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:value_stream,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:ValueStream,Value Stream,"A representation of an end-to-end collection of value-adding activities that create an overall result for a customer, stakeholder, or end-user.",Is not a part of TOGAF 9.2 Figure 30-7: Relationships between Entities in the Full Metamodel,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:work_package,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:WorkPackage,Work Package,"A set of actions identified to achieve one or more objectives for the business. A work package can be a part of a project, a complete project, or a program.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
